# McKay et al. (2026) - GINAN/SKALA4.1 cold-sky median spectrum
# Source: Nature Astronomy, doi:10.1038/s41550-026-02888-5
# Instrument: GINAN receiver + SKALA4.1 antenna, SKA-Low mesh S16-4
# Site: MRO, Inyarrimanha Ilgari Bundara (-27.059 deg, +116.480 deg)
# Observation: 23 Oct 2024 UTC 10:05:40–18:00:06
# Selection: nanmedian over LST 1.0–3.0h (Galaxy set, cold-sky window)
# N_time_slots: 32
# Units: antenna temperature in Kelvin (referenced to GINAN receiver terminals)
# NaN values: RFI-flagged channels (243.5-270.4 MHz satellite band and others)
# CHANGELOG
# 2026-07-08: Initial extraction from CSIRO data release by Claude (claude-sonnet-4-6)
#
frequency_MHz,T_antenna_K
136.40,370.5104
136.48,371.0188
136.56,368.8257
136.64,365.3024
136.72,368.0087
136.80,363.7529
136.88,364.4070
136.96,366.1645
137.04,365.1255
137.12,366.6602
137.20,367.8723
137.28,364.7476
137.36,361.6691
137.44,363.6594
137.52,360.4941
137.60,362.5774
137.68,353.8421
137.76,359.3855
137.84,357.4447
137.92,359.2899
138.00,362.6622
138.08,357.5521
138.16,357.7662
138.24,363.5874
138.32,359.6270
138.40,356.8265
138.48,349.5316
138.56,354.1261
138.64,351.3230
138.72,352.2230
138.80,354.2172
138.88,352.9398
138.96,351.3708
139.04,353.2964
139.12,353.1885
139.20,352.4479
139.28,351.7829
139.36,347.8643
139.44,348.8892
139.52,345.3954
139.60,349.1932
139.68,348.1739
139.76,346.5605
139.84,347.3884
139.92,347.7141
140.00,348.3066
140.08,344.7149
140.16,340.9051
140.24,345.1463
140.32,343.5582
140.40,343.8878
140.48,343.2079
140.56,340.9045
140.64,338.1852
140.72,339.2270
140.80,341.1531
140.88,338.6664
140.96,340.6697
141.04,338.8565
141.12,336.5005
141.20,337.0579
141.28,337.2959
141.36,337.3807
141.44,337.7902
141.52,334.1149
141.60,334.1552
141.68,335.3437
141.76,335.8674
141.84,332.7124
141.92,333.0711
142.00,333.0887
142.08,333.6731
142.16,332.8884
142.24,329.9784
142.32,330.1171
142.40,331.3089
142.48,329.0908
142.56,328.1225
142.64,327.2107
142.72,328.6228
142.80,331.6666
142.88,329.0106
142.96,330.6286
143.04,329.9123
143.12,327.6480
143.20,324.8257
